Gamelands,Plot,Species,Diameter,Diameter^2,Ba/Tree,Plot.Size.A 
SGL 103,P8,Snag,24.384,594.579456,0.04669827,0.0091
SGL 103,P8,Red Oak,19.05,362.9025,0.028502362,0.0091
SGL 103,P8,Mockernut Hickory ,12.7,161.29,0.012667717,0.0091
SGL 103,P8,Mockernut Hickory ,12.7,161.29,0.012667717,0.0091
SGL 103,P8,Red Maple,18.542,343.805764,0.027002505,0.0091
SGL 103,P8,Snag,41.402,1714.125604,0.134627425,0.0091
SGL 103,P8,Snag,15.24,232.2576,0.018241512,0.0091
SGL 103,P8,Snag,34.036,1158.449296,0.090984608,0.0091
SGL 103,P9,Red Maple,17.78,316.1284,0.024828725,0.0091
SGL 103,P9,Red Maple,12.7,161.29,0.012667717,0.0091
SGL 103,P9,Red Maple,25.654,658.127716,0.051689351,0.0091
SGL 103,P9,Sassafras,16.764,281.031696,0.022072229,0.0091
SGL 103,P9,Sassafras,20.32,412.9024,0.032429354,0.0091
SGL 103,P9,Sassafras,14.478,209.612484,0.016462964,0.0091
