TUBE.ID,PLOT.ID,MONTH,TREATMENT,TOT.COTTON.LOSS,DAMAGE.SCORE
PSU-SGL33-P9-B11,P9,APRIL,6D,1.05,1
PSU-SGL33-P9-B12,P9,APRIL,6D,4.41,1
PSU-SGL33-P11-A1,P11,APRIL,2D,0.6,5
PSU-SGL33-P11-A2,P11,APRIL,2D,1.85,3
PSU-SGL33-P11-A3,P11,APRIL,2D,1.12,2
PSU-SGL33-P11-A4,P11,APRIL,2D,4.49,
PSU-SGL33-P11-A5,P11,APRIL,2D,3.03,3
PSU-SGL33-P11-A6,P11,APRIL,2D,1.54,2
PSU-SGL33-P11-A7,P11,APRIL,2D,3.55,3
PSU-SGL33-P11-A8,P11,APRIL,2D,1.99,3
PSU-SGL33-P11-A9,P11,APRIL,2D,2.44,4
PSU-SGL33-P11-A10,P11,APRIL,2D,4.44,3
PSU-SGL33-P11-A11,P11,APRIL,2D,4.41,1
PSU-SGL33-P11-A12,P11,APRIL,2D,4.33,2
PSU-SGL33-P11-B1,P11,APRIL,2D,4.39,3
PSU-SGL33-P11-B2,P11,APRIL,2D,4.46,5
PSU-SGL33-P11-B3,P11,APRIL,2D,4.28,
PSU-SGL33-P11-B4,P11,APRIL,2D,4.05,4
PSU-SGL33-P11-B5,P11,APRIL,2D,4.3,4
PSU-SGL33-P11-B6,P11,APRIL,2D,1.83,4
PSU-SGL33-P11-B7,P11,APRIL,2D,4.36,5
PSU-SGL33-P11-B8,P11,APRIL,2D,4.41,2
PSU-SGL33-P11-B9,P11,APRIL,2D,4.43,3
PSU-SGL33-P11-B10,P11,APRIL,2D,4.4,2
PSU-SGL33-P11-B11,P11,APRIL,2D,4.47,2
PSU-SGL33-P11-B12,P11,APRIL,2D,4.33,2
PSU-SGL33-P12-A1,P12,APRIL,6D,0.65,1
PSU-SGL33-P12-A2,P12,APRIL,6D,0.26,1
PSU-SGL33-P12-A3,P12,APRIL,6D,0.14,1
PSU-SGL33-P12-A4,P12,APRIL,6D,0.06,1
PSU-SGL33-P12-A5,P12,APRIL,6D,0.19,1
PSU-SGL33-P12-A6,P12,APRIL,6D,0.15,1
PSU-SGL33-P12-A7,P12,APRIL,6D,0.06,1
PSU-SGL33-P12-A8,P12,APRIL,6D,0.71,2
